"","feature","rank","tf_idf"
"1","afd",1,40.1094695971108
"2","sozialversicherungsabkommen",2,5.07058824008554
"3","staatsvolk",3,4.22549020007128
"4","parteienfinanzierung",4,3.80847631045193
"5","bundestagsabgeordneter",5,3.38039216005703
"6","volkssouveränität",5,3.38039216005703
"7","ämterpatronage",5,3.38039216005703
"8","parlamentarier",5,3.38039216005703
"9","deutsch-türkisch",5,3.38039216005703
"10","kultursort",5,3.38039216005703
"11","windenergieanlage",5,3.38039216005703
"12","differenzierung",12,2.94381428235676
"13","abs",12,2.94381428235676
"14","zuwanderung",14,2.77643267788652
"15","steuerverschwendung",15,2.72034022175138
"16","technologiefeindlichkeit",15,2.72034022175138
"17","listenwahl",17,2.53529412004277
"18","berufspolitikertum",17,2.53529412004277
"19","vorgerichtlich",17,2.53529412004277
"20","ungeboren",17,2.53529412004277
"21","frühsexualisierung",17,2.53529412004277
"22","massenimmigration",17,2.53529412004277
"23","bekenntnisgebunden",17,2.53529412004277
"24","islamunterricht",17,2.53529412004277
"25","koranunterricht",17,2.53529412004277
"26","multikulturalismus",17,2.53529412004277
"27","bankinsolvenz",17,2.53529412004277
"28","doppelbesteuerung",17,2.53529412004277
"29","notfallambulanz",17,2.53529412004277
"30","hausarztsystem",17,2.53529412004277
"31","kleintierhaltung",17,2.53529412004277
"32","rettungspolitik",17,2.53529412004277
"33","massenzuwanderung",17,2.53529412004277
"34","einschaltung",17,2.53529412004277
"35","wanderungsdruck",17,2.53529412004277
"36","trauung",17,2.53529412004277
"37","förderlinie",17,2.53529412004277
"38","korrekt",38,2.20786071176757
"39","bundespräsident",39,2.1762721774011
"40","meinungsäußerung",39,2.1762721774011
"41","therapeu",39,2.1762721774011
"42","bürgerarbeit",39,2.1762721774011
"43","gender",43,2.04579249949533
"44","islam",44,1.89966446381709
"45","sicherheitsstrategie",45,1.83988392647297
"46","imame",45,1.83988392647297
"47","schweizer",47,1.70126634080406
"48","bundesbank",47,1.70126634080406
"49","austrittsrecht",49,1.69019608002851
"50","zurückführung",49,1.69019608002851
"51","staatenbund",49,1.69019608002851
"52","souverä",49,1.69019608002851
"53","verfassungsrecht",49,1.69019608002851
"54","amtszeit",49,1.69019608002851
"55","rentenvorsorge",49,1.69019608002851
"56","bargelds",49,1.69019608002851
"57","ausländerkriminalität",49,1.69019608002851
"58","fahndungsmöglichkeit",49,1.69019608002851
"59","abmahnverein",49,1.69019608002851
"60","erstattungsfähigkeit",49,1.69019608002851
"61","ungebremster",49,1.69019608002851
"62","massenmigration",49,1.69019608002851
"63","idealfall",49,1.69019608002851
"64","familiennahe",49,1.69019608002851
"65","mehrgliedriges",49,1.69019608002851
"66","moscheeverein",49,1.69019608002851
"67","optimi",49,1.69019608002851
"68","schlachten",49,1.69019608002851
"69","rückholbar",49,1.69019608002851
"70","oligarchie",49,1.69019608002851
"71","klaglos",49,1.69019608002851
"72","kürzester",49,1.69019608002851
"73","quotenregelung",49,1.69019608002851
"74","rechtsverhältnis",49,1.69019608002851
"75","target-2",49,1.69019608002851
"76","abzuschmelzen",49,1.69019608002851
"77","mark",49,1.69019608002851
"78","bevölkerungswachstum",49,1.69019608002851
"79","entwicklungshilfepolitik",49,1.69019608002851
"80","menschengemachen",49,1.69019608002851
"81","clans",49,1.69019608002851
"82","jagen",49,1.69019608002851
"83","ok",49,1.69019608002851
"84","feuerwaffenrichtlinie",49,1.69019608002851
"85","inkassobüro",49,1.69019608002851
"86","forderungsbeitreibung",49,1.69019608002851
"87","beitreibung",49,1.69019608002851
"88","auswanderungswillig",49,1.69019608002851
"89","wanderungsbewegung",49,1.69019608002851
"90","uma",49,1.69019608002851
"91","zugestehen",49,1.69019608002851
"92","ditib",49,1.69019608002851
"93","minarett",49,1.69019608002851
"94","muezzin",49,1.69019608002851
"95","standesamtlich",49,1.69019608002851
"96","lebensschutz",49,1.69019608002851
"97","nivellierend",49,1.69019608002851
"98","krankenhausentgelten",49,1.69019608002851
"99","portal",49,1.69019608002851
"100","eewärmeg",49,1.69019608002851
